"Photo.Order","Timepoint","Site","Photo.Rep","Photo.Name","ROI.Type","ROI.Rep","ROI.LabelCode","Area","StdDev","Mode","Perim.","Feret","MinFeret","Cal.Length","Mod_Bleached","Sev_Bleached","Partial_Mortality","Cal.nums","Cal.Length.mean","Diameter.circular","Volume.spherical","Geom.Mean.D"
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","12","b",47.8695174819882,41.503,112,28.8045778228329,9.91037787841012,7.23708334562345,317.068,"TRUE","FALSE","FALSE","4",322.0745,7.80700727842997,249.145114264541,8.4688978440336
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","13","b",59.5775747121063,38.045,72,34.7846228124238,10.6974007566572,7.60889173157142,287.028,"TRUE","FALSE","FALSE","4",322.0745,8.70956509263622,345.929843344325,9.02193793852713
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","14","b",17.8459905676366,39.603,105,16.1766920386432,5.6013437884713,4.41730096608083,0,"TRUE","FALSE","FALSE","4",322.0745,4.7667830772635,56.7119772232095,4.97421564954367
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","15","b",56.0502151892572,38.961,60,31.315704906784,10.9714367328056,7.45169207745413,0,"TRUE","FALSE","FALSE","4",322.0745,8.44780151695562,315.667395267664,9.04188963547647
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","16","b",77.2828179470466,29.204,76,46.0536614975728,12.7368357321055,9.42316141141258,0,"TRUE","FALSE","FALSE","4",322.0745,9.91965422475744,511.079221033053,10.9554214421115
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","17","b",30.3831074287059,29.815,118,26.8340089016672,8.67988617540352,5.29185017752104,0,"TRUE","FALSE","FALSE","4",322.0745,6.21972458153615,125.98304009185,6.77736358757382
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","1","b",208.711680126395,38.306,79,63.2393452241445,18.872429676327,15.4653886197061,318.567,"TRUE","FALSE","FALSE","4",313.6035,16.3015325839334,2268.2135028186,17.0841874007068
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","2","b",52.3085796319935,39.897,129,36.7422876339071,10.4411781118514,6.86924731388521,318.567,"TRUE","FALSE","FALSE","4",313.6035,8.16096514613207,284.592330146915,8.46894531205819
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","3","bb",2.6833516376804,29.561,234,6.61813404506008,2.6840261667998,1.47485598853329,318.567,"FALSE","TRUE","FALSE","4",313.6035,1.84839103479879,3.30658874020075,1.98961103371607
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","4","b",39.8059302432408,38.341,108,29.082838680053,8.70618472051492,6.18877021461814,318.567,"TRUE","FALSE","FALSE","4",313.6035,7.11916318823101,188.923275507314,7.34033900315825
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","5","bb",10.9632047584199,44.478,235,12.9270559799237,4.50109772371801,3.42926657387434,318.567,"FALSE","TRUE","FALSE","4",313.6035,3.73614585307492,27.3067546630545,3.92879930381892
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","6","b",38.6467711424619,42.19,82,60.6204012391443,11.6543023276207,8.22714032209462,318.567,"TRUE","FALSE","FALSE","4",313.6035,7.01474142751621,180.731404381843,9.79191404197614
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","8","b",83.3791275640132,43.679,90,68.195444247274,17.3593088087346,9.18937448083328,318.567,"TRUE","FALSE","FALSE","4",313.6035,10.3034752593491,572.729852001282,12.6301698077219
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","10",NA,15.7615133519075,29.785,62,14.4508910136526,4.83776488463936,4.14536189806555,318.567,"FALSE","FALSE","FALSE","4",313.6035,4.47975245795121,47.0717854528257,4.47820122645058
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","11","b",41.3728286417499,31.091,72,25.9524845864284,8.70223068301215,7.40629489147921,318.567,"TRUE","FALSE","FALSE","4",313.6035,7.25792818263088,200.187345996076,8.02815586869528
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","12","b",27.5910370172254,35.688,84,20.3130385981024,7.25052494630959,5.32289977630989,318.567,"TRUE","FALSE","FALSE","4",313.6035,5.92705655537241,109.022424548312,6.21239226182963
